temperaturaminima,temperaturamaxima,umidade,precipitacao,TempoConcetracao,vento,label
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.9,22.5,90.0,0.0,0.0,1.0,0
21.1,22.5,92.0,0.6,0.6,2.3,0
21.1,22.5,92.0,0.6,1.2,2.3,1
21.1,22.5,92.0,0.6,1.8,2.3,1
21.1,22.5,92.0,0.6,2.4,2.3,1
21.1,22.5,92.0,0.6,3.0,2.3,1
21.1,22.5,92.0,0.6,3.6,2.3,1
21.1,22.5,92.0,0.6,4.2,2.3,1
21.1,22.5,92.0,0.6,4.8,2.3,1
21.1,22.5,92.0,0.6,5.4,2.3,1
21.1,22.5,92.0,0.6,6.0,2.3,1
21.1,22.5,92.0,0.6,6.6,2.3,1
21.6,22.5,0.0,0.0,6.6,0.0,0
21.7,22.6,88.0,2.4,9.0,1.4,0
21.7,22.6,88.0,2.4,11.4,1.4,0
21.7,22.6,88.0,2.4,13.8,1.4,0
21.7,22.6,88.0,2.4,16.2,1.4,1
21.7,22.6,88.0,2.4,18.6,1.4,1
21.7,22.6,88.0,2.4,21.0,1.4,1
21.7,22.6,88.0,2.4,23.4,1.4,1
21.7,22.6,88.0,2.4,25.8,1.4,1
21.7,22.6,88.0,2.4,28.2,1.4,1
21.7,22.6,88.0,2.4,30.6,1.4,1
21.7,22.6,88.0,2.4,33.0,1.4,0
21.7,22.6,88.0,2.4,35.4,1.4,0
21.7,23.1,87.0,4.0,38.8,0.2,0
27.2,29.2,50.0,0.0,38.2,2.7,0
27.2,29.2,50.0,0.0,37.6,2.7,0
27.2,29.2,50.0,0.0,37.0,2.7,0
27.2,29.2,50.0,0.0,36.4,2.7,0
27.2,29.2,50.0,0.0,35.8,2.7,0
27.2,29.2,50.0,0.0,35.2,2.7,1
27.2,29.2,50.0,0.0,34.6,2.7,1
27.2,29.2,50.0,0.0,34.0,2.7,1
27.2,29.2,50.0,0.0,33.4,2.7,1
28.5,30.6,43.0,0.0,32.8,1.1,1
28.5,30.6,43.0,0.0,32.8,1.1,1
28.5,30.6,43.0,0.0,30.4,1.1,1
28.5,30.6,43.0,0.0,28.0,1.1,1
28.5,30.6,43.0,0.0,25.6,1.1,1
28.5,30.6,43.0,0.0,23.2,1.1,0
28.5,30.6,43.0,0.0,20.8,1.1,0
28.5,30.6,43.0,0.0,18.4,1.1,0
28.5,30.6,43.0,0.0,16.0,1.1,0
20.4,20.5,93.0,0.0,13.6,0.8,0
20.4,20.5,93.0,0.0,11.2,0.8,0
20.4,20.5,93.0,0.0,8.8,0.8,0
20.4,20.5,93.0,0.0,6.4,0.8,0
20.4,20.5,93.0,0.0,4.0,0.8,0
20.4,20.5,93.0,0.0,0.0,0.8,0
20.4,20.5,93.0,0.0,0.0,0.8,0
20.4,20.5,93.0,0.0,0.0,0.8,0
20.4,20.5,93.0,0.0,0.0,0.8,1
20.1,20.4,94.0,3.8,3.8,0.8,1
20.1,20.4,94.0,3.8,7.6,0.8,1
20.1,20.4,94.0,3.8,11.4,0.8,1
20.1,20.4,94.0,3.8,15.2,0.8,1
20.1,20.4,94.0,3.8,19.0,0.8,1
20.1,20.4,94.0,3.8,22.8,0.8,1
20.1,20.4,94.0,3.8,26.6,0.8,1
20.1,20.4,94.0,3.8,30.4,0.8,1
20.1,20.4,94.0,3.8,34.2,0.8,1
20.1,20.4,94.0,3.8,38.0,0.8,1
20.1,20.4,94.0,3.8,41.8,0.8,1
20.1,20.4,94.0,3.8,45.6,0.8,1
0.0,0.0,0.0,0.0,45.6,0.0,1
0.0,0.0,0.0,0.0,45.6,0.0,1
0.0,0.0,0.0,0.0,45.6,0.0,1
0.0,0.0,0.0,0.0,45.6,0.0,1
