tempo,valor
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
31/01/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,0
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,32.97
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,32.97
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,32.97
01/02/2014,34.54
01/02/2014,32.97
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,28.26
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,28.26
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,28.26
01/02/2014,31.4
01/02/2014,26.69
01/02/2014,28.26
01/02/2014,29.83
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,28.26
01/02/2014,28.26
01/02/2014,26.69
01/02/2014,28.26
01/02/2014,25.12
01/02/2014,29.83
01/02/2014,26.69
01/02/2014,29.83
01/02/2014,26.69
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,29.83
01/02/2014,31.4
01/02/2014,29.83
01/02/2014,28.26
01/02/2014,31.4
01/02/2014,25.12
01/02/2014,28.26
01/02/2014,28.26
01/02/2014,25.12
01/02/2014,28.26
01/02/2014,26.69
01/02/2014,26.69
01/02/2014,26.69
01/02/2014,25.12
01/02/2014,28.26
01/02/2014,26.69
01/02/2014,28.26
01/02/2014,25.12
02/02/2014,23.55
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,29.83
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,29.83
02/02/2014,31.4
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,29.83
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,29.83
02/02/2014,29.83
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,29.83
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,31.4
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,31.4
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,29.83
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,29.83
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,28.26
02/02/2014,23.55
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,29.83
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,29.83
02/02/2014,25.12
02/02/2014,29.83
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,28.26
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,28.26
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
